Game,MoveNumber,Move,TimeRemaining,EvalAfter,EvalChange,PlayerColor
2.0,70.0,Nc6,0:03:00,0.25,0.0,Black
2.0,72.0,d6,0:02:59,0.41,0.15999999999999998,Black
2.0,74.0,g6,0:02:59,0.37,-0.03999999999999998,Black
2.0,76.0,Bg7,0:02:58,-0.02,-0.39,Black
2.0,78.0,Nf6,0:02:58,-0.07,-0.05,Black
2.0,80.0,O-O,0:02:57,-0.05,0.020000000000000004,Black
2.0,82.0,Be6,0:02:55,0.31,0.36,Black
2.0,84.0,fxe6,0:02:55,0.36,0.04999999999999999,Black
2.0,86.0,b6,0:02:52,0.35,-0.010000000000000009,Black
2.0,88.0,d5,0:02:49,0.01,-0.33999999999999997,Black
2.0,90.0,exd5,0:02:49,-0.1,-0.11,Black
2.0,92.0,e5,0:02:37,-0.09,0.010000000000000009,Black
2.0,94.0,Kxg7,0:02:37,-0.13,-0.04000000000000001,Black
2.0,96.0,d4,0:02:30,0.36,0.49,Black
2.0,98.0,Nxe4,0:02:15,0.89,0.53,Black
2.0,100.0,Qd5,0:02:09,1.25,0.36,Black
2.0,102.0,Rae8,0:02:04,1.57,0.32000000000000006,Black
2.0,104.0,Qg3,0:01:51,0.7,-0.8700000000000001,Black
2.0,106.0,Nh4,0:01:44,0.79,0.09000000000000008,Black
2.0,108.0,Nf3,0:01:24,-0.34,-1.1300000000000001,Black
2.0,110.0,Rxe4,0:01:19,-0.15,0.19000000000000003,Black
2.0,112.0,Qg5,0:01:06,-0.01,0.13999999999999999,Black
2.0,114.0,Qf5,0:00:55,0.0,0.01,Black
2.0,116.0,g5,0:00:46,-0.02,-0.02,Black
2.0,118.0,h6,0:00:41,-0.08,-0.06,Black
2.0,120.0,Rxe5,0:00:46,-2.09,-2.01,Black
2.0,122.0,Qe4+,0:00:43,0.0,2.09,Black
2.0,124.0,Qb7,0:00:37,0.0,0.0,Black
2.0,126.0,Kh5,0:00:22,3.61,3.61,Black
2.0,128.0,Kh4,0:00:22,-inf,-inf,Black
2.0,130.0,Rxg4,0:00:21,-inf,,Black
,,,,,,
3.0,2.0,g6,0:03:00,0.57,,Black
3.0,4.0,Bg7,0:03:00,0.1,-0.47,Black
3.0,6.0,Nf6,0:02:58,0.37,0.27,Black
3.0,8.0,Bd3,0:02:57,0.19,-0.18,Black
3.0,10.0,O-O,0:02:57,0.31,0.12,Black
3.0,12.0,c3,0:02:56,0.58,0.26999999999999996,Black
3.0,14.0,Qc2,0:02:56,0.82,0.24,Black
3.0,16.0,Nbd2,0:02:55,0.9,0.08000000000000007,Black
3.0,18.0,e4,0:02:50,0.94,0.039999999999999925,Black
3.0,20.0,Nxe4,0:02:50,1.02,0.08000000000000007,Black
3.0,22.0,Ng3,0:02:45,0.65,-0.37,Black
3.0,24.0,Bxg3,0:02:45,0.49,-0.16000000000000003,Black
3.0,26.0,Bc6,0:02:39,1.17,0.6799999999999999,Black
3.0,28.0,Ne7,0:02:35,1.29,0.1200000000000001,Black
3.0,30.0,Nxc6,0:02:34,1.17,-0.1200000000000001,Black
3.0,32.0,Qd5,0:02:31,1.56,0.3900000000000001,Black
3.0,34.0,Qd7,0:02:17,1.5,-0.06000000000000005,Black
3.0,36.0,Bd3,0:02:00,0.52,-0.98,Black
3.0,38.0,Qb3,0:01:53,0.6,0.07999999999999996,Black
3.0,40.0,a4,0:01:49,0.58,-0.020000000000000018,Black
3.0,42.0,Nc4,0:01:56,2.26,1.6799999999999997,Black
3.0,44.0,bxc4,0:01:55,2.1,-0.1599999999999997,Black
3.0,46.0,c6,0:01:52,2.23,0.1299999999999999,Black
3.0,48.0,c5,0:01:30,3.51,1.2799999999999998,Black
3.0,50.0,Qxd5,0:01:27,3.95,0.4400000000000004,Black
3.0,52.0,Ra1,0:01:22,4.4,0.4500000000000002,Black
3.0,54.0,Bd6,0:01:39,4.54,0.13999999999999968,Black
3.0,56.0,Bxf6,0:01:38,4.53,-0.009999999999999787,Black
3.0,58.0,g5,0:01:36,4.5,-0.03000000000000025,Black
3.0,60.0,g4,0:01:34,3.69,-0.81,Black
3.0,62.0,Kf7,0:01:31,3.54,-0.1499999999999999,Black
3.0,64.0,Ke7,0:01:29,3.34,-0.20000000000000018,Black
3.0,66.0,h5,0:01:27,3.56,0.2200000000000002,Black
3.0,68.0,hxg4,0:01:23,3.67,0.10999999999999988,Black
3.0,70.0,Kd7,0:01:22,3.77,0.10000000000000009,Black
3.0,72.0,Kc7,0:01:21,3.78,0.009999999999999787,Black
3.0,74.0,Kb7,0:01:20,4.01,0.22999999999999998,Black
3.0,76.0,dxc4+,0:01:15,4.64,0.6299999999999999,Black
3.0,78.0,Ka6,0:01:15,5.61,0.9700000000000006,Black
3.0,80.0,Rc8,0:01:08,6.83,1.2199999999999998,Black
3.0,82.0,Bd8,0:01:06,7.08,0.25,Black
3.0,84.0,Kb7,0:01:01,7.7,0.6200000000000001,Black
3.0,86.0,Ka6,0:00:58,7.58,-0.1200000000000001,Black
3.0,88.0,e4,0:03:00,0.18,-7.4,Black
3.0,90.0,Nc3,0:02:59,0.26,0.08000000000000002,Black
3.0,92.0,g3,0:02:59,0.0,-0.26,Black
3.0,94.0,Bg2,0:02:58,0.0,0.0,Black
3.0,96.0,h6,0:02:56,0.85,0.85,Black
3.0,98.0,Bg7,0:02:47,-0.13,-0.98,Black
,,,,,,
4.0,2.0,d5,0:03:00,0.2,,Black
4.0,4.0,Nf6,0:02:59,0.12,-0.08000000000000002,Black
4.0,6.0,Nc6,0:02:59,0.39,0.27,Black
4.0,8.0,Bf5,0:02:58,0.67,0.28,Black
4.0,10.0,e6,0:02:58,0.26,-0.41000000000000003,Black
4.0,12.0,Bd6,0:02:56,0.13,-0.13,Black
4.0,14.0,Bxd3,0:02:54,-0.08,-0.21000000000000002,Black
4.0,16.0,Bxf4,0:02:54,-0.03,0.05,Black
4.0,18.0,O-O,0:02:51,-0.02,0.009999999999999998,Black
4.0,20.0,Ne7,0:02:50,-0.1,-0.08,Black
4.0,22.0,Ng6,0:02:49,0.21,0.31,Black
4.0,24.0,exf5,0:02:42,2.16,1.9500000000000002,Black
4.0,26.0,Ng6),0:02:30,1.56,-0.6000000000000001,Black
4.0,28.0,Ng4,0:02:12,4.6,3.0399999999999996,Black
